iter	MAPE	RMSE	R2	MAE
232	0.01814094351	0.2425910402	0.9347796892	0.1613204727
233	0.01812435765	0.2424241965	0.9348693698	0.1611590256
234	0.01811419433	0.2423180965	0.9349263678	0.1610636784
235	0.01809607874	0.2421795572	0.935000755	0.160890414
236	0.01808564776	0.2420803111	0.935054018	0.1607994997
237	0.01806708123	0.2418776747	0.9351627001	0.160631413
238	0.0180551717	0.241741519	0.9352356749	0.1605316429
239	0.0180425794	0.241623899	0.9352986821	0.1604200197
240	0.01803873805	0.2415430859	0.9353419546	0.1603834915
241	0.01803449075	0.2414745342	0.9353786503	0.1603477043
242	0.01802285609	0.2413620079	0.9354388629	0.1602362923
243	0.01801286274	0.2412495782	0.9354989958	0.1601471638
244	0.01800823659	0.2411915661	0.9355300126	0.1601094549
245	0.01799989026	0.2411008704	0.935578489	0.1600285681
246	0.01799742625	0.2410526783	0.93560424	0.1600090533
247	0.01798644048	0.2409549115	0.935656465	0.1599048131
248	0.01798034758	0.2408627597	0.9357056712	0.1598557433
249	0.01797562739	0.240791569	0.935743672	0.1598179331
250	0.01796987599	0.2407150073	0.9357845272	0.1597717478
251	0.01795984875	0.2405706315	0.9358615343	0.1596813292
252	0.01794709517	0.2404383433	0.9359320535	0.1595590677
253	0.01794438306	0.2403659884	0.9359706075	0.1595397395
254	0.01793836662	0.2402890692	0.9360115808	0.1594872243
255	0.01793614025	0.2402466077	0.9360341937	0.1594698703
256	0.01792806219	0.2401384422	0.936091779	0.1593973206
257	0.01791761668	0.2400411242	0.9361435671	0.1593008731
258	0.01791410278	0.2399735304	0.936179525	0.159267151
259	0.01790921799	0.239902347	0.9362173815	0.1592237176
260	0.01789849798	0.2398014814	0.9362710044	0.1591230734
261	0.0178933616	0.2396869785	0.9363318498	0.159085506
262	0.01788561674	0.2396068229	0.9363744262	0.1590136078
263	0.01787648781	0.2394674624	0.9364484167	0.158929507
264	0.01786128659	0.2393254899	0.9365237497	0.1587935398
265	0.01785212976	0.2392276086	0.9365756612	0.1587153943
266	0.01784805182	0.2391507745	0.9366163954	0.1586826921
267	0.01783296646	0.2390169466	0.936687314	0.1585453266
268	0.01782253152	0.2388954452	0.9367516661	0.1584574364
269	0.01781841335	0.2388299957	0.9367863173	0.1584211383
270	0.01780495891	0.2387192773	0.9368449137	0.1582915723
271	0.017798793	0.2386194829	0.9368977055	0.158242215
272	0.01779523633	0.2385574591	0.9369305053	0.1582114225
273	0.01778968516	0.2384606237	0.9369816973	0.1581680182
274	0.01778199486	0.2383531238	0.9370385028	0.1581060261
275	0.01776986132	0.2382329715	0.9371019638	0.1579965269
276	0.01776332912	0.2381471749	0.9371472595	0.1579409176
277	0.01775642781	0.2380472544	0.9371999913	0.1578799345
278	0.01774234978	0.2379075	0.9372737077	0.1577499528
279	0.01773279722	0.2378143621	0.9373228113	0.1576592285
280	0.01772120763	0.2377037174	0.9373811196	0.1575416053
281	0.01771398251	0.2375915045	0.9374402268	0.1574818441
282	0.0177132198	0.237564644	0.9374543711	0.15747544
283	0.01770894354	0.2375061103	0.9374851887	0.1574381936
284	0.01770678195	0.2374405515	0.9375196958	0.1574240154
285	0.01769610341	0.2373111475	0.9375877802	0.1573259066
286	0.01768700173	0.2371952922	0.9376487046	0.1572425158
287	0.0176687253	0.2370201017	0.9377407749	0.1570711032
288	0.01766329207	0.2369330816	0.9377864825	0.1570263875
289	0.01765389012	0.2367769032	0.9378684736	0.1569307723
290	0.01765042604	0.2367181762	0.9378992904	0.1569037282
291	0.01764293137	0.2366190132	0.9379513084	0.1568381836
292	0.017631179	0.2364825323	0.9380228666	0.1567290309
293	0.01762221871	0.236367029	0.9380833938	0.156655638
294	0.01761714475	0.2362825676	0.9381276354	0.1566166176
295	0.01760832842	0.2361741465	0.9381844042	0.1565440134
296	0.01760127323	0.2360891664	0.9382288811	0.1564818589
297	0.01760081597	0.2360728148	0.9382374374	0.1564778853
298	0.01759680095	0.2360233829	0.9382632999	0.1564370248
299	0.0175906951	0.2359086519	0.9383233058	0.1563871015
300	0.01758408255	0.2358216059	0.9383688125	0.1563257011
301	0.01758230042	0.2357800206	0.9383905469	0.1563109941
302	0.01757590609	0.2356851608	0.9384401108	0.1562562137
303	0.01757492963	0.2356756944	0.9384450559	0.1562470096
304	0.01757449088	0.2356611082	0.938452675	0.1562431612
305	0.01756062288	0.2355275953	0.9385223941	0.1561069659
306	0.01754963238	0.235400323	0.9385888176	0.1560105668
307	0.01754168259	0.2352909444	0.9386458737	0.1559378883
308	0.01753569897	0.2352308725	0.9386771982	0.1558835035
309	0.01752616996	0.2351255722	0.9387320878	0.1557966514
310	0.01752077807	0.2350310327	0.9387813472	0.1557524339
311	0.01751163798	0.2349083369	0.9388452478	0.155674286
312	0.01750594886	0.2348343452	0.9388837669	0.1556272218
313	0.01749413615	0.2347246086	0.938940872	0.1555105614
314	0.01749163331	0.2346729591	0.9389677403	0.1554905419
315	0.01748782327	0.2346258971	0.938992217	0.1554533189
316	0.01748129115	0.23453768	0.9390380851	0.1553833385
317	0.01747242123	0.2344605127	0.9390781937	0.155296689
318	0.01746618007	0.2343679177	0.9391263037	0.1552456836
319	0.01745807627	0.2342788364	0.9391725701	0.1551693895
320	0.01745250541	0.2341934309	0.9392169108	0.1551250653
321	0.01744834069	0.2341072941	0.9392616148	0.1550910785
322	0.01743888721	0.2340129702	0.939310549	0.1550001846
323	0.01743032539	0.2339071809	0.9393654079	0.1549296866
324	0.01742074124	0.2337945095	0.9394238083	0.1548420522
325	0.01741452788	0.233725782	0.9394594177	0.1547898906
326	0.01741366823	0.2337010023	0.9394722541	0.1547828166
327	0.01740264222	0.2335782528	0.9395358208	0.1546869167
328	0.01739932564	0.2334965016	0.9395781377	0.1546637893
329	0.01739292815	0.2334147236	0.9396204537	0.1546129341
330	0.01738814138	0.2333589215	0.9396493199	0.1545722513
331	0.0173874628	0.2333379976	0.939660142	0.1545665704
332	0.01738036009	0.2332572549	0.9397018939	0.1544971996
333	0.01737240335	0.2331715118	0.9397462158	0.1544197332
334	0.01736446292	0.2330495245	0.9398092447	0.154346108
335	0.01736202959	0.2329987197	0.939835485	0.15432757
336	0.01735774842	0.2329089757	0.9398818232	0.1542937385
337	0.01735099638	0.2328237822	0.9399257952	0.1542357111
338	0.01734997564	0.2328000753	0.9399380285	0.1542274554
339	0.01734414337	0.2327339997	0.9399721184	0.1541713134
340	0.01733580361	0.2326363101	0.940022501	0.1540915855
341	0.01733061071	0.2325580995	0.9400628222	0.154050969
342	0.01732291182	0.2324553894	0.9401157534	0.1539838544
343	0.01731579188	0.2323715636	0.9401589354	0.1539198787
344	0.01730746039	0.2322916429	0.9402000912	0.1538408442
345	0.01730118781	0.2322091289	0.9402425675	0.1537828151
346	0.01729354285	0.232081166	0.9403084102	0.1537047466
347	0.01728947804	0.232008843	0.9403456075	0.1536709699
348	0.01728336355	0.2319140062	0.9403943666	0.1536050666
349	0.01727676864	0.2318166757	0.9404443872	0.1535495736
350	0.01726398806	0.2316887519	0.9405100984	0.153434345
351	0.01726179805	0.2316543112	0.9405277835	0.1534134412
352	0.01725523473	0.2315797793	0.9405660462	0.1533554998
353	0.01724836773	0.231475498	0.9406195609	0.1532978499
354	0.01724338794	0.2314105184	0.9406528947	0.1532497281
355	0.01723727052	0.2313338323	0.9406922217	0.1531962937
356	0.01723328551	0.2312641956	0.9407279223	0.1531635983
357	0.01722897809	0.2311993006	0.9407611823	0.153123455
358	0.01722425843	0.2311364947	0.9407933626	0.1530841843
359	0.01721576104	0.2310367832	0.9408444347	0.1530053187
360	0.01721103938	0.2309630747	0.9408821739	0.152964811
361	0.01720317575	0.2308840201	0.940922637	0.1528891939
362	0.01719964529	0.2308311852	0.9409496721	0.1528577589
363	0.01719448152	0.2307666254	0.9409826984	0.1528083112
364	0.01718606435	0.230699333	0.9410171126	0.1527273785
365	0.01717967628	0.230620504	0.9410574142	0.1526700853
366	0.0171717275	0.2305155421	0.9411110548	0.152604082
367	0.01716939662	0.2304748303	0.941131854	0.1525851997
368	0.017161999	0.2303741603	0.9411832692	0.1525181005
369	0.01715204168	0.2302911181	0.9412256646	0.152423824
370	0.01714715227	0.2302354141	0.9412540944	0.1523840984
371	0.01714192104	0.2301757089	0.9412845587	0.1523343616
372	0.01713681513	0.2300936121	0.9413264353	0.152295681
373	0.01713284259	0.2300315985	0.9413580578	0.152262761
374	0.01712751039	0.2299600417	0.9413945361	0.1522182635
375	0.01712434347	0.2299031645	0.9414235229	0.1521916389
376	0.01711947634	0.2298336275	0.9414589519	0.1521498799
377	0.01711452379	0.2297745955	0.9414890201	0.1521117363
378	0.01711296914	0.2297427081	0.9415052589	0.1520991614
379	0.01710395706	0.2296389649	0.9415580751	0.1520176771
380	0.01709587714	0.2295311856	0.9416129208	0.1519474928
381	0.01709149172	0.229474598	0.9416417062	0.151911544
382	0.01708423562	0.2294086533	0.9416752425	0.1518445972
383	0.01707933091	0.2293310291	0.9417147061	0.1518039778
384	0.01707638832	0.2292568191	0.9417524215	0.1517816546
385	0.01706502921	0.2291257745	0.9418189918	0.1516774085
386	0.01705697548	0.2290298983	0.9418676726	0.1516061737
387	0.01704345565	0.2289066328	0.9419302302	0.1514736023
388	0.01703902907	0.2288536177	0.9419571251	0.1514348476
389	0.01703229103	0.228774004	0.9419975021	0.1513761812
390	0.01702564627	0.2287179826	0.9420259055	0.1513067224
391	0.01702136302	0.2286604351	0.9420550755	0.1512688983
392	0.01701321544	0.2285913571	0.9420900803	0.1511891003
393	0.01700786378	0.2285258732	0.9421232542	0.1511378175
394	0.01700393298	0.2284749006	0.94214907	0.1511074608
395	0.01699975123	0.2284147501	0.9421795268	0.1510687839
396	0.01699657752	0.2283519028	0.9422113405	0.1510451766
397	0.01699106252	0.2282700215	0.9422527762	0.1509963981
398	0.01698769375	0.2282050047	0.9422856672	0.1509675201
399	0.01698458427	0.2281529361	0.942312001	0.1509447151
400	0.01697899247	0.2280574549	0.9423602754	0.150892937
401	0.01697360407	0.2279945736	0.9423920565	0.1508412803
402	0.01697354309	0.2279933882	0.9423926555	0.1508406969
403	0.01697020841	0.2279515906	0.9424137757	0.1508129642
404	0.01696366941	0.2278713131	0.9424543287	0.1507561634
405	0.01695998229	0.227804795	0.9424879202	0.1507287672
406	0.01695992561	0.2278037161	0.942488465	0.1507282373
407	0.01695126035	0.2277000081	0.9425408175	0.1506490002
408	0.01694430695	0.2276091576	0.9425866599	0.1505797335
409	0.01694289304	0.2275748324	0.9426039753	0.1505691784
410	0.0169397917	0.2275235974	0.9426298161	0.1505449297
411	0.01693437329	0.2274251336	0.9426794607	0.1505023023
412	0.01692956401	0.2273529978	0.9427158174	0.1504644285
413	0.01692676064	0.2273074468	0.9427387693	0.1504420547
414	0.01691923173	0.2272338641	0.9427758359	0.1503659498
415	0.01691448165	0.2271734742	0.9428062477	0.1503221982
416	0.01690691282	0.2270857692	0.9428504008	0.1502501382
417	0.01690366066	0.2270332676	0.9428768234	0.150224402
418	0.01689364493	0.2269230346	0.9429322807	0.1501341436
419	0.01689166071	0.2268880266	0.9429498874	0.1501191092
420	0.01688860526	0.2268523181	0.9429678435	0.1500901301
421	0.0168863175	0.2268145529	0.9429868307	0.1500718958
422	0.0168749936	0.226700885	0.9430439606	0.1499692474
423	0.01686925611	0.2266283044	0.9430804249	0.1499146082
424	0.01686674606	0.2265737639	0.9431078182	0.1498946247
425	0.01686254054	0.2265107419	0.9431394632	0.1498604692
426	0.01685626951	0.2264362699	0.9431768461	0.1498083438
427	0.01685452899	0.2264008153	0.9431946391	0.1497961711
428	0.016849348	0.2263449375	0.9432226758	0.1497508947
429	0.01684480419	0.2262637593	0.9432633947	0.1497141621
430	0.01683987235	0.2262032001	0.9432937615	0.1496684313
431	0.01683684194	0.2261648547	0.9433129853	0.1496416509
432	0.01683051054	0.226089879	0.9433505636	0.1495832484
433	0.01682172882	0.2260139116	0.9433886262	0.1495021216
434	0.01682166672	0.2260128839	0.943389141	0.149501506
435	0.01682018667	0.2259874672	0.9434018729	0.1494888333
436	0.01682012734	0.2259864892	0.9434023628	0.1494882505
437	0.01681499901	0.2258981248	0.9434466153	0.1494451828
438	0.01681060843	0.2258379408	0.9434767453	0.1494055794
439	0.0168064414	0.2257877049	0.9435018889	0.1493631767
440	0.01680281593	0.2257396179	0.9435259516	0.1493340251
441	0.01679805327	0.2256874604	0.9435520454	0.1492896859
442	0.01679357802	0.2256205554	0.9435855084	0.1492520272
443	0.0167904652	0.2255683244	0.9436116252	0.1492279577
444	0.01678522288	0.2255032355	0.9436441628	0.1491770526
445	0.01678186581	0.2254360455	0.9436777409	0.1491515263
